code,course_id,type
CS 5621,FA25-CS-5621-1,primary
CS 4621,FA25-CS-5621-1,cross_listing
CS 5650,FA25-CS-5650-2,primary
INFO 5340,FA25-CS-5650-2,cross_listing
CS 5670,FA25-CS-5670-1,primary
CS 5672,FA25-CS-5672-1,primary
CS 5682,FA25-CS-5682-2,primary
INFO 6410,FA25-CS-5682-2,cross_listing
CS 5700,FA25-CS-5700-1,primary
CS 3700,FA25-CS-5700-1,cross_listing
CS 5727,FA25-CS-5727-2,primary
ORIE 5380,FA25-CS-5727-2,cross_listing
CS 5750,FA25-CS-5750-1,primary
CS 4750,FA25-CS-5750-1,cross_listing
ECE 4770,FA25-CS-5750-1,cross_listing
MAE 4760,FA25-CS-5750-1,cross_listing
CS 5754,FA25-CS-5754-2,primary
ECE 5755,FA25-CS-5754-2,cross_listing
CS 5777,FA25-CS-5777-1,primary
CS 4787,FA25-CS-5777-1,cross_listing
CS 5780,FA25-CS-5780-1,primary
CS 3780,FA25-CS-5780-1,cross_listing
CS 5781,FA25-CS-5781-1,primary
CS 5785,FA25-CS-5785-1,primary
ECE 5414,FA25-CS-5785-1,cross_listing
ORIE 5750,FA25-CS-5785-1,cross_listing
CS 5787,FA25-CS-5787-1,primary
CS 5820,FA25-CS-5820-1,primary
CS 6820,FA25-CS-5820-1,cross_listing
CS 5830,FA25-CS-5830-1,primary
CS 4830,FA25-CS-5830-1,cross_listing
CS 6830,FA25-CS-5830-1,cross_listing
CS 5998,FA25-CS-5998-1,primary
CS 5999,FA25-CS-5999-1,primary
CS 6006,FA25-CS-6006-1,primary
CS 6117,FA25-CS-6117-1,primary
CS 6120,FA25-CS-6120-1,primary
CS 6125,FA25-CS-6125-2,primary
INFO 6125,FA25-CS-6125-2,cross_listing
CS 6158,FA25-CS-6158-1,primary
CS 6210,FA25-CS-6210-1,primary
CS 6410,FA25-CS-6410-1,primary
CS 6703,FA25-CS-6703-1,primary
CS 6741,FA25-CS-6741-1,primary
CS 6742,FA25-CS-6742-1,primary
INFO 6742,FA25-CS-6742-1,cross_listing
CS 6752,FA25-CS-6752-2,primary
MAE 6770,FA25-CS-6752-2,cross_listing
CS 6758,FA25-CS-6758-1,primary
CS 6783,FA25-CS-6783-1,primary
CS 6784,FA25-CS-6784-1,primary
CS 6820,FA25-CS-6820-1,primary
CS 5820,FA25-CS-6820-1,cross_listing
CS 6830,FA25-CS-6830-1,primary
CS 4830,FA25-CS-6830-1,cross_listing
CS 5830,FA25-CS-6830-1,cross_listing
CS 6832,FA25-CS-6832-1,primary
CS 6840,FA25-CS-6840-1,primary
CS 6861,FA25-CS-6861-1,primary
CS 7090,FA25-CS-7090-1,primary
CS 7190,FA25-CS-7190-1,primary
CS 7290,FA25-CS-7290-1,primary
MATH 7290,FA25-CS-7290-1,cross_listing
CS 7390,FA25-CS-7390-1,primary
CS 7490,FA25-CS-7490-1,primary
CS 7690,FA25-CS-7690-1,primary
CS 7790,FA25-CS-7790-1,primary
CS 7792,FA25-CS-7792-1,primary
CS 7794,FA25-CS-7794-1,primary
CS 7796,FA25-CS-7796-1,primary
CS 7800,FA25-CS-7800-1,primary
CS 7890,FA25-CS-7890-1,primary
CS 7999,FA25-CS-7999-1,primary
ENGRD 2020,FA25-ENGRD-2020-1,primary
MAE 2020,FA25-ENGRD-2020-1,cross_listing
ENGRD 2100,FA25-ENGRD-2100-1,primary
ECE 2100,FA25-ENGRD-2100-1,cross_listing
ENGRD 2110,FA25-ENGRD-2110-2,primary
CS 2110,FA25-ENGRD-2110-2,cross_listing
ENGRD 2111,FA25-ENGRD-2111-2,primary
BME 2110,FA25-ENGRD-2111-2,cross_listing
ENGRD 2112,FA25-ENGRD-2112-2,primary
CS 2112,FA25-ENGRD-2112-2,cross_listing
ENGRD 2190,FA25-ENGRD-2190-1,primary
ENGRD 2210,FA25-ENGRD-2210-1,primary
MAE 2210,FA25-ENGRD-2210-1,cross_listing
ENGRD 2250,FA25-ENGRD-2250-2,primary
EAS 2250,FA25-ENGRD-2250-2,cross_listing
ENGRD 2300,FA25-ENGRD-2300-1,primary
ECE 2300,FA25-ENGRD-2300-1,cross_listing
ENGRD 2510,FA25-ENGRD-2510-2,primary
BEE 2510,FA25-ENGRD-2510-2,cross_listing
ENGRD 2600,FA25-ENGRD-2600-2,primary
BEE 2600,FA25-ENGRD-2600-2,cross_listing
ENGRD 2610,FA25-ENGRD-2610-2,primary
MSE 2610,FA25-ENGRD-2610-2,cross_listing
ENGRD 2700,FA25-ENGRD-2700-1,primary
ENGRD 2720,FA25-ENGRD-2720-2,primary
ECE 2720,FA25-ENGRD-2720-2,cross_listing
MATH 1006,FA25-MATH-1006-1,primary
MATH 1011,FA25-MATH-1011-1,primary
MATH 1101,FA25-MATH-1101-1,primary
MATH 1106,FA25-MATH-1106-1,primary
MATH 1110,FA25-MATH-1110-1,primary
MATH 1120,FA25-MATH-1120-1,primary
MATH 1300,FA25-MATH-1300-1,primary
MATH 1710,FA25-MATH-1710-1,primary
MATH 1890,FA25-MATH-1890-1,primary
MATH 1910,FA25-MATH-1910-1,primary
MATH 1920,FA25-MATH-1920-1,primary
MATH 2210,FA25-MATH-2210-1,primary
MATH 2220,FA25-MATH-2220-1,primary
MATH 2230,FA25-MATH-2230-1,primary
MATH 2310,FA25-MATH-2310-1,primary
MATH 2930,FA25-MATH-2930-1,primary
MATH 2940,FA25-MATH-2940-1,primary
MATH 3040,FA25-MATH-3040-1,primary
MATH 3110,FA25-MATH-3110-1,primary
MATH 3210,FA25-MATH-3210-1,primary
MATH 3270,FA25-MATH-3270-1,primary
MATH 3320,FA25-MATH-3320-1,primary
MATH 4040,FA25-MATH-4040-1,primary
MATH 4130,FA25-MATH-4130-1,primary
MATH 4220,FA25-MATH-4220-1,primary
MATH 5220,FA25-MATH-4220-1,cross_listing
MATH 4250,FA25-MATH-4250-1,primary
CS 4210,FA25-MATH-4250-1,cross_listing
MATH 5250,FA25-MATH-4250-1,cross_listing
MATH 4310,FA25-MATH-4310-1,primary
MATH 4330,FA25-MATH-4330-1,primary
MATH 4370,FA25-MATH-4370-1,primary
MATH 4410,FA25-MATH-4410-1,primary
MATH 5410,FA25-MATH-4410-1,cross_listing
MATH 4520,FA25-MATH-4520-1,primary
MATH 4530,FA25-MATH-4530-1,primary
MATH 4710,FA25-MATH-4710-1,primary
MATH 4900,FA25-MATH-4900-1,primary
MATH 4901,FA25-MATH-4901-1,primary
MATH 4980,FA25-MATH-4980-1,primary
MATH 5080,FA25-MATH-4980-1,cross_listing
MATH 4997,FA25-MATH-4997-1,primary
MATH 5080,FA25-MATH-5080-1,primary
MATH 4980,FA25-MATH-5080-1,cross_listing
MATH 5220,FA25-MATH-5220-1,primary
MATH 4220,FA25-MATH-5220-1,cross_listing
MATH 5250,FA25-MATH-5250-1,primary
CS 4210,FA25-MATH-5250-1,cross_listing
MATH 4250,FA25-MATH-5250-1,cross_listing
MATH 5410,FA25-MATH-5410-1,primary
MATH 4410,FA25-MATH-5410-1,cross_listing
MATH 6110,FA25-MATH-6110-1,primary
MATH 6150,FA25-MATH-6150-1,primary
MATH 6210,FA25-MATH-6210-1,primary
MATH 6260,FA25-MATH-6260-1,primary
MATH 6310,FA25-MATH-6310-1,primary
MATH 6330,FA25-MATH-6330-1,primary
MATH 6390,FA25-MATH-6390-1,primary
MATH 6410,FA25-MATH-6410-1,primary
