from_course_id,to_course_id,type,confidence,raw_text
FA25-MATH-1110-1,FA25-MATH-1910-1,mandatory,0.29999999999999993,"Three years high school mathematics, including trigonometry and logarithms, and at least one course in differential and integral calculus (e.g., MATH 1110), or equivalent AP credit."
FA25-MATH-1910-1,FA25-MATH-1920-1,mandatory,0.6000000000000001,MATH 1910 or equivalent AP credit.
FA25-MATH-1110-1,FA25-MATH-2210-1,or_group_or_permission,0.6000000000000001,"MATH 1110-MATH 1120 with high performance, equivalent AP credit, or permission of department."
FA25-MATH-1120-1,FA25-MATH-2210-1,or_group_or_permission,0.6000000000000001,"MATH 1110-MATH 1120 with high performance, equivalent AP credit, or permission of department."
FA25-MATH-2210-1,FA25-MATH-2220-1,mandatory,0.9,MATH 2210.
FA25-MATH-1110-1,FA25-MATH-2230-1,or_group_or_permission,0.6000000000000001,"MATH 1110-MATH 1120 with a grade of A- or better, equivalent AP credit, or permission of instructor."
FA25-MATH-1120-1,FA25-MATH-2230-1,or_group_or_permission,0.6000000000000001,"MATH 1110-MATH 1120 with a grade of A- or better, equivalent AP credit, or permission of instructor."
FA25-MATH-1106-1,FA25-MATH-2310-1,or_group,0.6000000000000001,"MATH 1106, MATH 1110, or equivalent AP credit."
FA25-MATH-1110-1,FA25-MATH-2310-1,or_group,0.6000000000000001,"MATH 1106, MATH 1110, or equivalent AP credit."
FA25-MATH-1920-1,FA25-MATH-2930-1,mandatory,0.9,MATH 1920.
FA25-MATH-1920-1,FA25-MATH-2940-1,mandatory,0.9,MATH 1920.
FA25-MATH-2210-1,FA25-MATH-3040-1,or_group,0.6000000000000001,"MATH 2210, MATH 2230, MATH 2310, MATH 2940, or equivalent."
FA25-MATH-2230-1,FA25-MATH-3040-1,or_group,0.6000000000000001,"MATH 2210, MATH 2230, MATH 2310, MATH 2940, or equivalent."
FA25-MATH-2310-1,FA25-MATH-3040-1,or_group,0.6000000000000001,"MATH 2210, MATH 2230, MATH 2310, MATH 2940, or equivalent."
FA25-MATH-2940-1,FA25-MATH-3040-1,or_group,0.6000000000000001,"MATH 2210, MATH 2230, MATH 2310, MATH 2940, or equivalent."
FA25-MATH-2210-1,FA25-MATH-3110-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-2230-1,FA25-MATH-3110-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
FA25-MATH-2310-1,FA25-MATH-3110-1,or_group,0.29999999999999993,"a semester of linear algebra (MATH 2210, MATH 2230, MATH 2310, or MATH 2940) and a semester of multivariable calculus (MATH 2220, MATH 2240, or MATH 1920), or equivalent."
