code,course_id
HIST 6963,FA14-HIST-4963-1
COML 4415,FA14-HIST-6233-2
COML 6415,FA14-HIST-6233-2
FREN 4415,FA14-HIST-6233-2
FREN 6415,FA14-HIST-6233-2
GERST 4411,FA14-HIST-6233-2
GERST 6411,FA14-HIST-6233-2
GOVT 4786,FA14-HIST-6233-2
GOVT 6786,FA14-HIST-6233-2
HIST 4233,FA14-HIST-6233-2
JWST 4410,FA14-HIST-6233-2
JWST 6415,FA14-HIST-6233-2
ROMS 4410,FA14-HIST-6233-2
ROMS 6410,FA14-HIST-6233-2
COML 4416,FA14-HIST-6234-2
COML 6416,FA14-HIST-6234-2
FREN 4435,FA14-HIST-6234-2
FREN 6435,FA14-HIST-6234-2
GERST 4431,FA14-HIST-6234-2
GERST 6431,FA14-HIST-6234-2
GOVT 4696,FA14-HIST-6234-2
GOVT 6696,FA14-HIST-6234-2
HIST 4234,FA14-HIST-6234-2
ROMS 4430,FA14-HIST-6234-2
ROMS 6430,FA14-HIST-6234-2
AMST 6332,FA14-HIST-6332-1
AMST 4039,FA14-HIST-6391-1
ASRC 4390,FA14-HIST-6391-1
ASRC 6391,FA14-HIST-6391-1
HIST 4390,FA14-HIST-6391-1
LATA 6482,FA14-HIST-6482-1
ASRC 6625,FA14-HIST-6625-1
ASIAN 6641,FA14-HIST-6640-1
CLASS 4625,FA14-HIST-6825-2
CLASS 6625,FA14-HIST-6825-2
HIST 4825,FA14-HIST-6825-2
RELST 4825,FA14-HIST-6825-2
HIST 4910,FA14-HIST-6920-1
MEDVL 4910,FA14-HIST-6920-1
MEDVL 6910,FA14-HIST-6920-1
HIST 4945,FA14-HIST-6945-1
ASIAN 4461,FA14-HIST-6963-1
ASIAN 6661,FA14-HIST-6963-1
CAPS 4963,FA14-HIST-6963-1
HIST 4963,FA14-HIST-6963-1
STS 7003,FA14-HIST-7000-2
CS 4210,FA14-MATH-4250-1
PHIL 4310,FA14-MATH-4810-1
PHIL 4311,FA14-MATH-4820-2
STSCI 6730,FA14-MATH-6730-2
CS 7290,FA14-MATH-7290-2
